name,company,year,kms_driven,fuel_type,Price
Chevrolet Beat LS,Chevrolet,2016,95000,Diesel,225000
Honda City 1.5,Honda,2014,22000,Petrol,499000
Renault Duster,Renault,2013,41000,Diesel,399999
Renault Kwid,Renault,2016,11000,Petrol,244999
Toyota Innova 2.5,Toyota,2011,147000,Diesel,750000
Maruti Suzuki Alto,Maruti,2017,12500,Petrol,225000
Mahindra TUV300 T4,Mahindra,2016,29500,Diesel,540000
Mahindra XUV500,Mahindra,2015,15000,Diesel,1000000
Maruti Suzuki 800,Maruti,2001,81876,Petrol,55000
Hyundai Verna Fluidic,Hyundai,2013,45000,Diesel,401000
Maruti Suzuki Zen,Maruti,2000,60000,Petrol,55000
Maruti Suzuki Swift,Maruti,2007,70000,Petrol,125000
Hyundai Santro Xing,Hyundai,2007,46000,Petrol,115000
Honda Amaze,Honda,2015,22000,Petrol,344999
Maruti Suzuki Alto,Maruti,2019,1625,Petrol,425000
Maruti Suzuki Swift,Maruti,2006,45000,Petrol,135000
Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
Honda Accord,Honda,2009,58559,Petrol,175000
Hyundai i20 Magna,Hyundai,2013,35000,Petrol,310000
Nissan Micra XV,Nissan,2011,41000,Petrol,179000
Mini Cooper S,Mini,2013,13000,Petrol,1891111
Renault Scala RxL,Renault,2015,25000,Diesel,375000
Ford Figo Petrol,Ford,2011,75000,Petrol,175000
Tata Sumo Gold,Tata,2013,50000,Diesel,300000
Ford EcoSport Trend,Ford,2013,38000,Diesel,495000
Ford Ikon 1.3,Ford,2008,46000,Petrol,95000
Honda City 1.5,Honda,2010,35000,Petrol,285000
Hyundai Grand i10,Hyundai,2014,35000,Petrol,340000
Maruti Suzuki Swift,Maruti,2009,59000,Petrol,210000
Maruti Suzuki Alto,Maruti,2016,38000,Petrol,270000
